Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
KITRON;NO0003079709;KIT;"Oslo Børs";NOK;28.70;29.90;28.70;29.75;"02/11/2023 16:26";CET;567519;16717228.70;29.75;02/11/2023
"KLAVENESS COMBINAT";NO0010833262;KCC;"Oslo Børs";NOK;82.00;82.60;79.40;80.00;"02/11/2023 16:26";CET;142735;11495817.80;80.00;02/11/2023
"KMC PROPERTIES";NO0010360175;KMCP;"Oslo Børs";NOK;5.20;5.52;5.12;5.18;"02/11/2023 16:25";CET;223310;1159866.96;5.18;02/11/2023
KOMPLETT;NO0011016040;KOMPL;"Oslo Børs";NOK;5.90;6.04;5.82;5.90;"02/11/2023 16:25";CET;117268;694701.40;5.90;02/11/2023
"KONGSBERG AUTOMOT";NO0003033102;KOA;"Oslo Børs";NOK;1.97;2.024;1.97;2.022;"02/11/2023 16:25";CET;1957685;3915895.32;2.022;02/11/2023
"KONGSBERG GRUPPEN";NO0003043309;KOG;"Oslo Børs";NOK;463.00;464.60;456.80;458.80;"02/11/2023 16:25";CET;90867;41785384.20;458.80;02/11/2023
"KRAFT BANK";NO0010815103;KRAB;"Euronext Growth Oslo";NOK;8.00;8.00;8.00;8.00;"02/11/2023 14:06";CET;6266;50128.00;8.00;02/11/2023
"KYOTO GROUP";NO0010936750;KYOTO;"Euronext Growth Oslo";NOK;13.85;13.90;13.60;13.90;"02/11/2023 16:19";CET;11568;158683.15;13.90;02/11/2023
"LEA BANK";NO0010167331;LEA;"Euronext Growth Oslo";NOK;7.76;7.88;7.56;7.70;"02/11/2023 16:18";CET;13250;101113.66;7.70;02/11/2023
"LERØY SEAFOOD GP";NO0003096208;LSG;"Oslo Børs";NOK;44.14;44.62;43.80;44.42;"02/11/2023 16:28";CET;720609;31852588.68;44.42;02/11/2023
LIFECARE;NO0010591191;LIFE;"Euronext Growth Oslo";NOK;2.88;2.88;2.64;2.79;"02/11/2023 16:25";CET;557152;1538795.52;2.79;02/11/2023
"LINK MOBILITY GRP";NO0010894231;LINK;"Oslo Børs";NOK;11.10;11.70;11.10;11.60;"02/11/2023 16:25";CET;461752;5330093.26;11.60;02/11/2023
"LOKOTECH GROUP";NO0010921299;LOKO;"Euronext Growth Oslo";NOK;1.15;1.185;1.08;1.165;"02/11/2023 16:25";CET;1704901;1950926.52;1.165;02/11/2023
"LUMI GRUPPEN";NO0010927288;LUMI;"Euronext Growth Oslo";NOK;14.95;14.95;14.95;14.95;"30/10/2023 14:20";CET;11;164.45;14.95;02/11/2023
"LYTIX BIOPHARMA";NO0010405780;LYTIX;"Euronext Growth Oslo";NOK;6.65;7.75;6.50;6.50;"02/11/2023 16:00";CET;80513;542221.55;6.50;02/11/2023
"M VEST WATER";NO0010976343;MVW;"Euronext Growth Oslo";NOK;7.24;7.24;6.00;7.00;"02/11/2023 16:25";CET;46196;320950.70;7.00;02/11/2023
MAGNORA;NO0010187032;MGN;"Oslo Børs";NOK;32.65;33.50;32.30;33.20;"02/11/2023 16:25";CET;137834;4538242.40;33.20;02/11/2023
MATVAREEXPRESSEN;NO0013008664;MVE;"Euronext Growth Oslo";NOK;64.99;64.99;64.99;64.99;"01/11/2023 09:00";CET;5;324.95;64.99;02/11/2023
MEDISTIM;NO0010159684;MEDI;"Oslo Børs";NOK;210.00;221.00;206.00;208.00;"02/11/2023 16:31";CET;23064;4849589.20;208.00;02/11/2023
"MELHUS SPAREBANK";NO0006001908;MELG;"Oslo Børs";NOK;160.00;162.00;160.00;162.00;"02/11/2023 13:52";CET;596;96411.00;162.00;02/11/2023
"MINTRA HOLDING";NO0010895022;MNTR;"Euronext Growth Oslo";NOK;3.36;3.52;3.26;3.30;"02/11/2023 16:25";CET;47230;159216.91;3.30;02/11/2023
"MORROW BANK";NO0010694029;MOBA;"Oslo Børs";NOK;3.69;3.75;3.66;3.75;"02/11/2023 16:25";CET;94748;347856.44;3.75;02/11/2023
MOWI;NO0003054108;MOWI;"Oslo Børs";NOK;180.05;182.25;180.05;181.65;"02/11/2023 16:27";CET;561016;101749724.75;181.65;02/11/2023
"MPC CONTAINER SHIP";NO0010791353;MPCC;"Oslo Børs";NOK;15.80;15.93;15.59;15.865;"02/11/2023 16:29";CET;2294922;36243939.53;15.865;02/11/2023
"MPC ENERGY SOLUTIO";NL0015268814;MPCES;"Euronext Growth Oslo";NOK;9.18;9.18;9.18;9.18;"02/11/2023 10:01";CET;7050;64719.00;9.18;02/11/2023
MULTICONSULT;NO0010734338;MULTI;"Oslo Børs";NOK;128.50;128.50;124.50;124.50;"02/11/2023 16:25";CET;6767;846486.50;124.50;02/11/2023
MÅSØVAL;NO0010974983;MAS;"Euronext Growth Oslo";NOK;24.80;24.80;24.10;24.70;"02/11/2023 15:52";CET;44870;1095102.00;24.70;02/11/2023
NAPATECH;DK0060520450;NAPA;"Oslo Børs";NOK;11.85;12.20;11.60;12.00;"02/11/2023 16:19";CET;46412;555747.95;12.00;02/11/2023
NAVAMEDIC;NO0010205966;NAVA;"Oslo Børs";NOK;39.00;39.20;38.00;38.10;"02/11/2023 16:25";CET;11500;445486.90;38.10;02/11/2023
NEKKAR;NO0003049405;NKR;"Oslo Børs";NOK;8.08;8.37;8.08;8.21;"02/11/2023 16:25";CET;47189;388591.01;8.21;02/11/2023
NEL;NO0010081235;NEL;"Oslo Børs";NOK;7.50;8.192;7.50;8.192;"02/11/2023 16:28";CET;11397580;91990281.45;8.192;02/11/2023
"NEXT BIOMETRICS GP";NO0010629108;NEXT;"Oslo Børs";NOK;5.58;5.60;5.40;5.54;"02/11/2023 16:25";CET;108504;596277.16;5.54;02/11/2023
"NIDAROS SPAREBANK";NO0010733082;NISB;"Euronext Growth Oslo";NOK;106.00;106.00;106.00;106.00;"02/11/2023 09:13";CET;50;5300.00;106.00;02/11/2023
"NORAM DRILLING";NO0010360019;NORAM;"Euronext Growth Oslo";NOK;49.00;49.00;47.35;47.50;"02/11/2023 16:25";CET;105160;5052215.65;47.50;02/11/2023
NORBIT;NO0010856511;NORBT;"Oslo Børs";NOK;56.40;56.40;54.60;55.60;"02/11/2023 16:25";CET;22721;1255811.40;55.60;02/11/2023
NORCOD;NO0010892912;NCOD;"Euronext Growth Oslo";NOK;24.00;24.00;21.20;23.00;"02/11/2023 16:25";CET;2559;54660.00;23.00;02/11/2023
"NORDHEALTH A-AKSJE";NO0011002651;NORDH;"Euronext Growth Oslo";NOK;24.40;24.40;23.80;23.80;"02/11/2023 14:56";CET;312;7611.00;23.80;02/11/2023
"NORDIC AQUA PART";NO0012928805;NOAP;"Euronext Growth Oslo";NOK;69.00;71.00;69.00;71.00;"02/11/2023 13:57";CET;170;11750.00;71.00;02/11/2023
"NORDIC HALIBUT";NO0003058109;NOHAL;"Euronext Growth Oslo";NOK;21.00;21.60;21.00;21.00;"02/11/2023 14:04";CET;2535;53835.00;21.00;02/11/2023
"NORDIC MINING";NO0010317340;NOM;"Euronext Expand Oslo";NOK;0.68;0.702;0.68;0.699;"02/11/2023 16:25";CET;3744298;2606463.21;0.699;02/11/2023
"NORDIC SEMICONDUC";NO0003055501;NOD;"Oslo Børs";NOK;86.88;93.74;86.40;89.90;"02/11/2023 16:25";CET;1283487;116114774.50;89.90;02/11/2023
"NORDIC TECHNOLOGY";NO0011018434;NTG;"Euronext Growth Oslo";NOK;4.00;4.00;4.00;4.00;"01/11/2023 09:22";CET;500;2000.00;4.00;02/11/2023
"NORDIC UNMANNED";NO0010907090;NUMND;"Euronext Growth Oslo";NOK;0.4805;0.4995;0.4705;0.499;"02/11/2023 16:25";CET;964745;465742.52;0.499;02/11/2023
"NORSE ATLANTIC";NO0012885252;NORSE;"Euronext Expand Oslo";NOK;15.82;15.82;12.20;12.48;"02/11/2023 16:25";CET;1252842;16314827.32;12.48;02/11/2023
"NORSK HYDRO";NO0005052605;NHY;"Oslo Børs";NOK;63.24;64.32;62.86;62.86;"02/11/2023 16:29";CET;3435088;217012606.10;62.86;02/11/2023
"NORSK SOLAR";NO0010941925;NSOL;"Euronext Growth Oslo";NOK;1.385;1.75;1.385;1.50;"02/11/2023 16:13";CET;213077;319976.12;1.50;02/11/2023
"NORSK TITANIUM";NO0010969108;NTI;"Euronext Growth Oslo";NOK;2.16;2.16;2.00;2.07;"02/11/2023 14:53";CET;5348;11082.20;2.07;02/11/2023
"NORSKE SKOG";NO0010861115;NSKOG;"Oslo Børs";NOK;41.98;45.28;41.92;45.20;"02/11/2023 16:27";CET;1157190;51029955.16;45.20;02/11/2023
"NORTH ENERGY";NO0010550056;NORTH;"Euronext Expand Oslo";NOK;2.10;2.10;2.04;2.10;"02/11/2023 14:48";CET;42893;88378.48;2.10;02/11/2023
"NORTHERN DRILLING";BMG6624L1090;NODL;"Oslo Børs";NOK;1.97;2.89;1.75;2.13;"02/11/2023 16:29";CET;8215218;18915916.37;2.13;02/11/2023
"NORTHERN OCEAN LTD";BMG6682J1036;NOL;"Oslo Børs";NOK;13.20;13.86;13.20;13.68;"02/11/2023 16:25";CET;105511;1447814.04;13.68;02/11/2023
"NORWEGIAN AIR SHUT";NO0010196140;NAS;"Oslo Børs";NOK;8.702;9.23;8.702;9.00;"02/11/2023 16:29";CET;41552199;373674005.29;9.00;02/11/2023
"NORWEGIAN BLOCK EX";NO0010984966;NBX;"Euronext Growth Oslo";NOK;0.89;0.89;0.778;0.888;"02/11/2023 12:48";CET;41636;34512.15;0.888;02/11/2023
"NRC GROUP";NO0003679102;NRC;"Oslo Børs";NOK;11.74;11.90;11.74;11.84;"02/11/2023 16:25";CET;42370;499007.14;11.84;02/11/2023
"NYKODE THERAPEUTIC";NO0010714785;NYKD;"Oslo Børs";NOK;17.10;18.40;16.97;18.02;"02/11/2023 16:25";CET;959225;17134055.38;18.02;02/11/2023
"OBSERVE MEDICAL";NO0010865009;OBSRV;"Euronext Expand Oslo";NOK;0.81;0.843;0.71;0.768;"02/11/2023 16:25";CET;247008;188051.72;0.768;02/11/2023
"OCEAN GEOLOOP";NO0010914641;OCEAN;"Euronext Growth Oslo";NOK;10.30;10.55;10.30;10.55;"02/11/2023 14:10";CET;3000;31150.00;10.55;02/11/2023
"OCEAN SUN";NO0010887565;OSUN;"Euronext Growth Oslo";NOK;4.91;4.91;4.89;4.89;"02/11/2023 15:33";CET;1285;6289.35;4.89;02/11/2023
OCEANTEAM;NO0010317316;OTS;"Oslo Børs";NOK;1.15;1.37;1.15;1.20;"02/11/2023 16:25";CET;34873;45112.05;1.20;02/11/2023
"ODFJELL DRILLING";BMG671801022;ODL;"Oslo Børs";NOK;39.00;40.80;38.95;40.65;"02/11/2023 16:25";CET;491636;19777460.90;40.65;02/11/2023
"ODFJELL SER. A";NO0003399909;ODF;"Oslo Børs";NOK;120.00;120.00;106.00;111.50;"02/11/2023 16:26";CET;106809;11893040.00;111.50;02/11/2023
"ODFJELL SER. B";NO0003399917;ODFB;"Oslo Børs";NOK;123.50;123.50;102.00;110.00;"02/11/2023 16:25";CET;37991;4152476.00;110.00;02/11/2023
"ODFJELL TECHNOLOGY";BMG6716L1081;OTL;"Oslo Børs";NOK;55.60;57.80;54.90;57.80;"02/11/2023 16:28";CET;134459;7586183.00;57.80;02/11/2023
OKEA;NO0010816895;OKEA;"Oslo Børs";NOK;39.28;39.72;38.74;39.52;"02/11/2023 16:25";CET;418717;16426111.94;39.52;02/11/2023
"OKEANIS ECO TANKER";MHY641771016;OET;"Oslo Børs";NOK;324.50;328.50;320.00;327.50;"02/11/2023 16:25";CET;38750;12576793.00;327.50;02/11/2023
"OLAV THON EIENDOMS";NO0005638858;OLT;"Oslo Børs";NOK;162.50;165.00;161.50;162.50;"02/11/2023 16:25";CET;2251;366314.50;162.50;02/11/2023
OMDA;NO0010894512;OMDA;"Euronext Growth Oslo";NOK;30.00;30.50;29.30;29.60;"02/11/2023 16:25";CET;22000;660716.30;29.60;02/11/2023
ORKLA;NO0003733800;ORK;"Oslo Børs";NOK;77.48;78.34;77.34;78.18;"02/11/2023 16:25";CET;577294;45062415.74;78.18;02/11/2023
"OTELLO CORPORATION";NO0010040611;OTEC;"Oslo Børs";NOK;7.76;7.76;7.50;7.50;"02/11/2023 16:25";CET;55567;422797.82;7.50;02/11/2023
OTOVO;NO0010809783;OTOVO;"Oslo Børs";NOK;3.39;3.545;3.30;3.495;"02/11/2023 16:25";CET;102225;347776.62;3.495;02/11/2023
"PANORO ENERGY";NO0010564701;PEN;"Oslo Børs";NOK;31.04;31.36;30.82;31.14;"02/11/2023 16:25";CET;457300;14207845.84;31.14;02/11/2023
"PARETO BANK";NO0010397581;PARB;"Oslo Børs";NOK;51.00;51.60;51.00;51.10;"02/11/2023 16:25";CET;10026;513594.30;51.10;02/11/2023
"PCI BIOTECH HOLD";NO0010405640;PCIB;"Oslo Børs";NOK;2.27;2.345;2.06;2.195;"02/11/2023 16:19";CET;308781;670813.02;2.195;02/11/2023
PETROLIA;CY0102630916;PSE;"Oslo Børs";NOK;4.26;4.26;4.24;4.24;"02/11/2023 16:25";CET;1605;6821.54;4.24;02/11/2023
"PETRONOR E&P";NO0012942525;PNOR;"Oslo Børs";NOK;7.81;7.937;7.745;7.82;"02/11/2023 16:25";CET;166679;1308833.63;7.82;02/11/2023
"PEXIP HOLDING";NO0010840507;PEXIP;"Oslo Børs";NOK;19.90;20.26;19.30;19.76;"02/11/2023 16:25";CET;1296048;25846655.75;19.76;02/11/2023
PGS;NO0010199151;PGS;"Oslo Børs";NOK;10.08;10.20;9.998;10.20;"02/11/2023 16:26";CET;18523043;187415540.68;10.20;02/11/2023
"PHILLY SHIPYARD";NO0010395577;PHLY;"Euronext Expand Oslo";NOK;39.80;43.00;38.40;39.50;"02/11/2023 16:19";CET;37732;1499970.50;39.50;02/11/2023
PHOTOCURE;NO0010000045;PHO;"Oslo Børs";NOK;56.00;58.60;56.00;56.80;"02/11/2023 16:25";CET;69502;3969127.50;56.80;02/11/2023
"PIONEER PROPERTY";NO0010735681;PPG;"Euronext Expand Oslo";NOK;88.00;88.20;87.60;87.80;"02/11/2023 16:16";CET;3506;307832.20;87.80;02/11/2023
"POLARIS MEDIA";NO0010466022;POL;"Oslo Børs";NOK;51.00;55.00;51.00;55.00;"02/11/2023 16:25";CET;2919;152809.00;55.00;02/11/2023
POLIGHT;NO0012535832;PLT;"Oslo Børs";NOK;11.10;11.10;10.30;10.44;"02/11/2023 16:27";CET;577987;6082490.34;10.44;02/11/2023
PROSAFE;NO0010861990;PRS;"Oslo Børs";NOK;65.00;65.90;63.90;65.00;"02/11/2023 16:25";CET;13940;903027.40;65.00;02/11/2023
"PROTECTOR FORSIKRG";NO0010209331;PROT;"Oslo Børs";NOK;176.40;183.60;176.40;181.20;"02/11/2023 16:25";CET;95600;17233518.20;181.20;02/11/2023
"PROXIMAR SEAFOOD";NO0010893902;PROXI;"Euronext Growth Oslo";NOK;4.99;4.99;4.88;4.95;"02/11/2023 15:16";CET;42322;207975.50;4.95;02/11/2023
PRYME;NL00150005Z1;PRYME;"Euronext Growth Oslo";NOK;8.50;8.50;8.00;8.11;"02/11/2023 15:52";CET;127506;1042697.23;8.11;02/11/2023
"PYRUM INNOVATIONS";DE000A2G8ZX8;PYRUM;"Euronext Growth Oslo";NOK;366.00;380.00;350.00;358.00;"02/11/2023 16:25";CET;6523;2393052.00;358.00;02/11/2023
Q-FREE;NO0003103103;QFR;"Oslo Børs";NOK;11.90;11.95;11.90;11.95;"02/11/2023 16:25";CET;107192;1275671.30;11.95;02/11/2023
QUANTAFUEL;NO0010785967;QFUEL;"Euronext Growth Oslo";NOK;4.20;4.498;4.12;4.23;"02/11/2023 16:09";CET;129098;555871.38;4.23;02/11/2023
"QUESTBACK GROUP";NO0011019119;QUEST;"Euronext Growth Oslo";NOK;35.00;35.00;35.00;35.00;"16/10/2023 09:00";CET;25;875.00;35.00;02/11/2023
"QUESTERRE ENERGY";CA74836K1003;QEC;"Oslo Børs";NOK;1.78;1.78;1.68;1.706;"02/11/2023 16:25";CET;2065357;3546252.76;1.706;02/11/2023
"RANA GRUBER";NO0010907389;RANA;"Oslo Børs";NOK;62.30;62.40;61.70;62.00;"02/11/2023 16:25";CET;74741;4644987.00;62.00;02/11/2023
"REACH SUBSEA";NO0003117202;REACH;"Oslo Børs";NOK;4.47;4.50;4.36;4.46;"02/11/2023 16:25";CET;255571;1141445.24;4.46;02/11/2023
"REC SILICON";NO0010112675;RECSI;"Oslo Børs";NOK;14.55;15.035;14.415;14.975;"02/11/2023 16:29";CET;1105878;16423352.10;14.975;02/11/2023
RECREATE;NO0010859689;RCR;"Euronext Growth Oslo";NOK;2.16;2.16;2.16;2.16;"02/11/2023 14:36";CET;23111;49919.76;2.16;02/11/2023
REFUELS;NL0015001BF4;REFL;"Euronext Growth Oslo";NOK;31.50;31.50;31.50;31.50;"27/10/2023 16:25";CET;20;630.00;31.50;02/11/2023
"RIVER TECH";MT0001710103;RIVER;"Euronext Growth Oslo";NOK;31.00;32.00;29.20;32.00;"01/11/2023 16:25";CET;328;10332.00;32.00;02/11/2023
"ROMERIKE SPAREBK";NO0010808405;ROMER;"Euronext Growth Oslo";NOK;120.00;120.00;120.00;120.00;"02/11/2023 13:53";CET;45;5400.00;120.00;02/11/2023
ROMREAL;BMG763301022;ROM;"Euronext Expand Oslo";NOK;1.90;1.90;1.90;1.90;"02/11/2023 11:39";CET;2178;4138.20;1.90;02/11/2023
"ROMSDAL SPAREBANK";NO0010759988;ROMSB;"Euronext Growth Oslo";NOK;131.00;131.00;131.00;131.00;"02/11/2023 11:54";CET;35;4585.00;131.00;02/11/2023
"S.D. STANDARD ETC";CY0101550917;SDSD;"Oslo Børs";NOK;1.95;1.956;1.94;1.954;"02/11/2023 16:25";CET;1672955;3257623.96;1.954;02/11/2023
"SAGA PURE";NO0010572589;SAGA;"Oslo Børs";NOK;1.372;1.396;1.368;1.368;"02/11/2023 16:25";CET;444136;609142.80;1.368;02/11/2023
SALMAR;NO0010310956;SALM;"Oslo Børs";NOK;534.00;540.80;531.80;539.00;"02/11/2023 16:25";CET;121195;65221220.80;539.00;02/11/2023
"SALMON EVOLUTION";NO0010892094;SALME;"Oslo Børs";NOK;5.98;6.11;5.96;6.08;"02/11/2023 16:29";CET;450463;2728190.64;6.08;02/11/2023
"SALMONES CAMANCHAC";NO0012451915;SACAM;"Oslo Børs";NOK;32.40;32.80;32.40;32.80;"02/11/2023 15:59";CET;565;18452.00;32.80;02/11/2023
"SANDNES SPAREBANK";NO0006001007;SADG;"Oslo Børs";NOK;82.40;82.40;82.20;82.20;"02/11/2023 16:25";CET;1510;124138.00;82.20;02/11/2023
"SAS AB";SE0003366871;SASNO;"Oslo Børs";NOK;0.045;0.0481;0.04;0.043;"02/11/2023 16:26";CET;35347598;1561190.48;0.043;02/11/2023
SATS;NO0010863285;SATS;"Oslo Børs";NOK;11.80;12.04;11.78;11.92;"02/11/2023 16:25";CET;200939;2400287.94;11.92;02/11/2023
SCANA;NO0003053308;SCANA;"Oslo Børs";NOK;2.25;2.26;2.17;2.18;"02/11/2023 16:25";CET;1906100;4222073.27;2.18;02/11/2023
SCATEC;NO0010715139;SCATC;"Oslo Børs";NOK;60.50;66.00;60.50;64.60;"02/11/2023 16:25";CET;1612042;103491769.45;64.60;02/11/2023
"SCHIBSTED SER. A";NO0003028904;SCHA;"Oslo Børs";NOK;223.10;230.40;223.10;227.80;"02/11/2023 16:25";CET;120413;27467890.60;227.80;02/11/2023
"SCHIBSTED SER. B";NO0010736879;SCHB;"Oslo Børs";NOK;206.00;213.40;206.00;211.20;"02/11/2023 16:25";CET;63751;13470687.60;211.20;02/11/2023
"SEABIRD EXPLORAT";CY0101162119;SBX;"Oslo Børs";NOK;5.25;5.40;5.15;5.26;"02/11/2023 16:25";CET;317660;1678550.53;5.26;02/11/2023
"SEACREST PETROLEO";BMG7947V2045;SEAPT;"Euronext Expand Oslo";NOK;11.35;11.35;10.988;11.112;"02/11/2023 16:16";CET;56368;626740.90;11.112;02/11/2023
SEADRILL;BMG7997W1029;SDRL;"Oslo Børs";NOK;455.00;470.50;453.00;467.50;"02/11/2023 16:25";CET;80188;37043091.00;467.50;02/11/2023
"SELF STORAGE GROUP";NO0010781206;SSG;"Oslo Børs";NOK;39.80;39.80;39.70;39.80;"02/11/2023 16:25";CET;3015;119850.90;39.80;02/11/2023
"SELVAAG BOLIG";NO0010612450;SBO;"Oslo Børs";NOK;26.40;28.85;26.05;28.15;"02/11/2023 16:25";CET;52083;1455267.85;28.15;02/11/2023
"SHELF DRILLING";KYG236271055;SHLF;"Oslo Børs";NOK;30.30;32.45;30.30;31.90;"02/11/2023 16:26";CET;1159614;36839456.20;31.90;02/11/2023
"SHELF DRILLING NO";BMG236541097;SDNS;"Euronext Growth Oslo";NOK;28.40;30.50;28.40;30.40;"02/11/2023 16:25";CET;5446;161422.20;30.40;02/11/2023
"SIEM OFFSHORE";KYG812291253;SIOFF;"Oslo Børs";NOK;25.70;25.85;24.65;25.85;"02/11/2023 16:25";CET;478088;12056684.35;25.85;02/11/2023
"SIKRI GROUP";NO0012548819;SIKRI;"Oslo Børs";NOK;5.58;5.92;5.58;5.92;"02/11/2023 16:15";CET;43900;248659.70;5.92;02/11/2023
"SKANDIA GREENPOWER";NO0010931207;SKAND;"Euronext Growth Oslo";NOK;0.45;0.59;0.45;0.586;"02/11/2023 16:28";CET;4062817;2055985.55;0.586;02/11/2023
"SKUE SPAREBANK";NO0006001809;SKUE;"Oslo Børs";NOK;218.00;220.00;218.00;220.00;"02/11/2023 12:08";CET;130;28420.00;220.00;02/11/2023
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;20.80;21.20;20.30;20.80;"02/11/2023 16:25";CET;64106;1333942.80;20.80;02/11/2023
"SMARTOPTICS GROUP";NO0011012502;SMOP;"Euronext Growth Oslo";NOK;18.00;19.00;18.00;18.20;"02/11/2023 16:25";CET;92006;1702700.30;18.20;02/11/2023
"SOFTOX SOLUTIONS";NO0010811961;SOFTX;"Euronext Growth Oslo";NOK;4.16;4.74;4.15;4.74;"02/11/2023 16:25";CET;24822;107830.22;4.74;02/11/2023
"SOGN SPAREBANK";NO0006000603;SOGN;"Oslo Børs";NOK;152.00;152.00;152.00;152.00;"02/11/2023 14:16";CET;35;5320.00;152.00;02/11/2023
"SOLSTAD OFFSHORE";NO0003080608;SOFF;"Oslo Børs";NOK;25.50;26.40;25.22;25.82;"02/11/2023 16:28";CET;783475;20315730.44;25.82;02/11/2023
"SPARBNK 68 GR NORD";NO0010887110;SB68;"Euronext Growth Oslo";NOK;162.00;162.00;162.00;162.00;"01/11/2023 14:03";CET;1;162.00;162.00;02/11/2023
"SPAREBANK 1 SMN";NO0006390301;MING;"Oslo Børs";NOK;133.00;133.00;127.80;129.00;"02/11/2023 16:27";CET;503285;65330551.00;129.00;02/11/2023
"SPAREBANK 1 SR-BK";NO0010631567;SRBNK;"Oslo Børs";NOK;121.50;121.50;117.80;118.90;"02/11/2023 16:25";CET;153598;18247139.10;118.90;02/11/2023
"SPAREBANK 1 SØRØ";NO0006000207;SOON;"Oslo Børs";NOK;60.00;60.00;58.80;59.20;"02/11/2023 16:25";CET;19979;1183290.20;59.20;02/11/2023
"SPAREBANKEN MØRE";NO0012483207;MORG;"Oslo Børs";NOK;76.95;76.95;75.50;76.15;"02/11/2023 16:25";CET;2091;158444.91;76.15;02/11/2023
"SPAREBANKEN SØR";NO0006001502;SOR;"Oslo Børs";NOK;126.00;127.50;125.50;126.00;"02/11/2023 16:25";CET;3718;470343.50;126.00;02/11/2023
"SPAREBANKEN VEST";NO0006000900;SVEG;"Oslo Børs";NOK;102.80;103.00;102.20;102.20;"02/11/2023 16:25";CET;47813;4911390.40;102.20;02/11/2023
"SPAREBANKEN ØST";NO0006222009;SPOG;"Oslo Børs";NOK;47.60;48.50;47.60;48.00;"02/11/2023 16:25";CET;3557;171389.10;48.00;02/11/2023
"SPBK 1 NORDMØRE";NO0010691660;SNOR;"Oslo Børs";NOK;122.00;123.00;122.00;123.00;"02/11/2023 16:25";CET;2563;312759.00;123.00;02/11/2023
"SPBK 1 ØSTLANDET";NO0010751910;SPOL;"Oslo Børs";NOK;124.80;126.20;124.00;126.20;"02/11/2023 16:25";CET;775468;96201254.20;126.20;02/11/2023
"SPBK1 HELGELAND";NO0010029804;HELG;"Oslo Børs";NOK;119.00;121.00;119.00;119.00;"02/11/2023 16:25";CET;1547;185093.00;119.00;02/11/2023
"SPBK1 NORD-NORGE";NO0006000801;NONG;"Oslo Børs";NOK;94.90;95.10;93.00;93.50;"02/11/2023 16:25";CET;192599;18009745.90;93.50;02/11/2023
"SPBK1 RINGERIKE";NO0006390400;RING;"Oslo Børs";NOK;288.00;296.00;288.00;296.00;"02/11/2023 15:37";CET;50053;14015568.00;296.00;02/11/2023
"SPBK1 ØSTFOLD AKE";NO0010285562;SOAG;"Oslo Børs";NOK;318.00;318.00;310.00;310.00;"02/11/2023 16:25";CET;4696;1455818.00;310.00;02/11/2023
SPOTLIO;NO0010781560;SPOT;"Euronext Growth Oslo";NOK;0.21;0.274;0.21;0.274;"31/10/2023 12:44";CET;54000;14735.01;0.274;02/11/2023
"STAINLESS TANKERS";NO0012780958;STST;"Euronext Growth Oslo";NOK;43.79;43.80;42.90;42.90;"02/11/2023 16:26";CET;23445;1010252.59;42.90;02/11/2023
"STANDARD SUPPLY";NO0012547308;STSU;"Euronext Growth Oslo";NOK;5.48;5.50;5.34;5.48;"02/11/2023 16:25";CET;686728;3706732.58;5.48;02/11/2023
"STATT TORSK";NO0010775844;STATT;"Euronext Growth Oslo";NOK;0.48;0.48;0.45;0.48;"02/11/2023 16:18";CET;114489;54392.08;0.48;02/11/2023
STOLT-NIELSEN;BMG850801025;SNI;"Oslo Børs";NOK;363.50;365.50;351.50;358.00;"02/11/2023 16:28";CET;63598;22721870.00;358.00;02/11/2023
STOREBRAND;NO0003053605;STB;"Oslo Børs";NOK;91.88;93.16;91.88;92.96;"02/11/2023 16:25";CET;976496;90636839.91;92.96;02/11/2023
STRONGPOINT;NO0010098247;STRO;"Oslo Børs";NOK;13.15;13.60;13.15;13.40;"02/11/2023 16:25";CET;100112;1334077.15;13.40;02/11/2023
"SUBSEA 7";LU0075646355;SUBC;"Oslo Børs";NOK;149.00;152.05;148.05;151.10;"02/11/2023 16:25";CET;306316;46088558.20;151.10;02/11/2023
"SUNNDAL SPAREBANK";NO0010672900;SUNSB;"Euronext Growth Oslo";NOK;111.00;111.00;111.00;111.00;"02/11/2023 11:17";CET;9;999.00;111.00;02/11/2023
TECHSTEP;NO0012916131;TECH;"Oslo Børs";NOK;8.10;8.16;7.80;8.135;"02/11/2023 16:25";CET;18462;149369.79;8.135;02/11/2023
"TECO 2030";NO0010887516;TECO;"Euronext Growth Oslo";NOK;5.40;5.54;5.40;5.50;"02/11/2023 15:24";CET;29864;163886.36;5.50;02/11/2023
"TEKNA HOLDING";NO0010951577;TEKNA;"Oslo Børs";NOK;6.64;7.10;6.64;7.10;"02/11/2023 14:47";CET;4083;27587.04;7.10;02/11/2023
TELENOR;NO0010063308;TEL;"Oslo Børs";NOK;115.30;115.60;114.50;115.60;"02/11/2023 16:27";CET;1172133;135285297.53;115.60;02/11/2023
TGS;NO0003078800;TGS;"Oslo Børs";NOK;153.00;154.20;150.90;153.00;"02/11/2023 16:25";CET;762633;116456463.80;153.00;02/11/2023
"THE KINGFISH COMP";NL00150001S5;KING;"Euronext Growth Oslo";NOK;8.90;8.90;7.90;7.90;"02/11/2023 16:25";CET;5640;46106.80;7.90;02/11/2023
